DenuncRef,DenuncSystemId,DenuncID,Trialref,Denunc_exists,Denuncdate,Denuncdate_as_date,Denunc_text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"DN/LA/28","LA",28,"T/LA/10",1,,,"to Earl of Winton, bailies of Musselburgh","LEM","05/06/02 19:57:55","LEM","05/06/02 19:58:41"
"DN/LA/29","LA",29,"T/LA/10",1,"4/7/1629","07/04/29 00:00:00","depositions taken at Liberton Kirk","LEM","05/06/02 20:12:40","jhm","10/18/02 16:09:55"
"DN/LA/3","LA",3,"T/LA/40",1,"8/7/1644","07/08/44 00:00:00",,"LEM","05/22/01 15:35:25","LEM","05/22/01 15:36:02"
"DN/LA/30","LA",30,"T/LA/602",1,"12/10/1628","10/12/28 00:00:00","Kirk of Cramond","LEM","05/07/02 10:03:52","jhm","10/01/02 14:37:20"
"DN/LA/31","LA",31,"T/LA/137",1,"27/7/1627","07/27/27 00:00:00","by a confessing witch Margaret Loche","LEM","05/07/02 11:11:00","LEM","05/07/02 11:11:19"
"DN/LA/32","LA",32,"T/LA/139",1,"27/7/1629","07/27/29 00:00:00","by a confessing witch Margaret Loche","LEM","05/07/02 11:11:50","jhm","10/02/02 11:49:57"
"DN/LA/33","LA",33,"T/LA/138",1,"27/7/1629","07/27/29 00:00:00","by a confessing witch Margaret Loche","LEM","05/07/02 11:13:39","LEM","05/07/02 11:13:58"
"DN/LA/34","LA",34,"T/LA/626",1,"14/3/1629","03/14/29 00:00:00","by a confessing witch Cristiand Wilson","LEM","05/07/02 11:49:13","LEM","05/07/02 11:49:40"
"DN/LA/35","LA",35,"T/LA/100",1,"15/7/1629","07/15/29 00:00:00","by Alexander Hammilton in Haddington","LEM","05/07/02 13:02:14","LEM","05/07/02 13:02:42"
"DN/LA/36","LA",36,"T/LA/99",1,"13/7/1629","07/13/29 00:00:00","by Alexander Hammilton in Dunce","LEM","05/07/02 13:08:41","LEM","05/07/02 13:24:41"
"DN/LA/37","LA",37,"T/LA/678",1,"13/7/1629","07/13/29 00:00:00","by Alexander Hammilton in Dunce","LEM","05/07/02 13:23:40","LEM","05/07/02 13:24:05"
"DN/LA/38","LA",38,"T/LA/677",1,"13/7/1629","07/13/29 00:00:00","by Alexander Hammilton in Duns","LEM","05/07/02 13:24:48","LEM","05/07/02 13:25:06"
