DemonicRef,DemonicSystemId,DemonicID,CaseRef,Demonic_Type,Demonic_Text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"DP/LA/78","LA",78,"C/EGD/380","Devil's Mark","under left papie","LEM","06/29/01 11:05:48","LEM","06/29/01 11:06:08"
"DP/LA/79","LA",79,"C/EGD/380","Want nothing",,"LEM","06/29/01 11:06:10","LEM","06/29/01 11:06:31"
"DP/LA/8","LA",8,"C/EGD/166","Bond/Band","'Bund man'","LEM","05/21/01 11:09:23","LEM","05/21/01 11:09:41"
"DP/LA/80","LA",80,"C/EGD/384","Anti-baptism",,"LEM","06/29/01 12:23:00","LEM","06/29/01 12:23:01"
"DP/LA/81","LA",81,"C/EGD/384","Devil's Mark",,"LEM","06/29/01 12:23:04","LEM","06/29/01 12:23:05"
"DP/LA/82","LA",82,"C/EGD/384","New name","Crooked Patersone","LEM","06/29/01 12:23:08","LEM","06/29/01 12:23:16"
"DP/LA/83","LA",83,"C/EGD/384","Servant",,"LEM","06/29/01 12:23:27","LEM","06/29/01 12:23:28"
"DP/LA/84","LA",84,"C/EGD/384","Sex",,"LEM","06/29/01 12:23:29","LEM","06/29/01 12:23:38"
"DP/LA/85","LA",85,"C/EGD/381","Anti-baptism",,"LEM","06/29/01 12:50:08","LEM","06/29/01 12:50:10"
"DP/LA/86","LA",86,"C/EGD/381","Devil's Mark",,"LEM","06/29/01 12:50:12","LEM","06/29/01 12:50:13"
"DP/LA/87","LA",87,"C/EGD/381","New name",,"LEM","06/29/01 12:50:16","LEM","06/29/01 12:50:18"
"DP/LA/88","LA",88,"C/EGD/381","sex",,"LEM","06/29/01 12:50:21","LEM","06/29/01 12:50:28"
"DP/LA/89","LA",89,"C/EGD/381","Servant",,"LEM","06/29/01 12:50:29","LEM","06/29/01 12:50:31"
"DP/LA/90","LA",90,"C/EGD/382","Anti-baptism",,"LEM","06/29/01 13:00:26","LEM","06/29/01 13:00:26"
"DP/LA/91","LA",91,"C/EGD/382","Devil's Mark",,"LEM","06/29/01 13:00:29","LEM","06/29/01 13:00:31"
"DP/LA/92","LA",92,"C/EGD/382","New name","Trotter","LEM","06/29/01 13:00:32","LEM","06/29/01 13:00:40"
"DP/LA/93","LA",93,"C/EGD/382","Devil's Mark","shoulder","LEM","06/29/01 13:00:42","LEM","06/29/01 13:00:46"
"DP/LA/94","LA",94,"C/EGD/382","Devil's Mark","left arm","LEM","06/29/01 13:00:47","LEM","06/29/01 13:00:58"
"DP/LA/95","LA",95,"C/EGD/382","Sex",,"LEM","06/29/01 13:00:59","LEM","06/29/01 13:01:01"
"DP/LA/96","LA",96,"C/EGD/382","Servant",,"LEM","06/29/01 13:01:02","LEM","06/29/01 13:01:03"
"DP/LA/97","LA",97,"C/EGD/385","Anti-baptism",,"LEM","06/29/01 13:17:59","LEM","06/29/01 13:18:00"
"DP/LA/98","LA",98,"C/EGD/385","New name","Bold Leslie","LEM","06/29/01 13:18:02","jhm","11/05/02 15:34:39"
"DP/LA/99","LA",99,"C/EGD/385","Servant",,"LEM","06/29/01 13:18:22","LEM","06/29/01 13:18:22"
