DevilRef,DevilSystemId,DevilID,CaseRef,Devil_Type,Devil_Text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"DVA/LA/5","LA",5,"C/EGD/166","Male","Man","LEM","05/18/01 15:15:54","jhm","10/21/02 14:59:01"
"DVA/LA/52","LA",52,"C/EGD/380","Male","in green clothes","LEM","06/29/01 11:05:08","jhm","11/05/02 15:05:48"
"DVA/LA/53","LA",53,"C/EGD/384","Animal Devil","she tumbled over him on the floor","LEM","06/29/01 12:22:41","LEM","06/29/01 12:22:52"
"DVA/LA/54","LA",54,"C/EGD/384","Male","for sex","LEM","06/29/01 12:22:54","jhm","11/05/02 15:31:08"
"DVA/LA/55","LA",55,"C/EGD/381","Male","a man named William Twedie","LEM","06/29/01 12:48:39","LEM","11/07/02 16:03:13"
"DVA/LA/56","LA",56,"C/EGD/381","Male","black man","LEM","06/29/01 12:48:57","LEM","11/07/02 16:03:10"
"DVA/LA/57","LA",57,"C/EGD/381","Male","little black man","LEM","06/29/01 12:49:02","LEM","11/07/02 16:03:08"
"DVA/LA/58","LA",58,"C/EGD/381","Fairy","in a black gown","LEM","06/29/01 12:49:10","jhm","11/05/02 15:11:42"
"DVA/LA/59","LA",59,"C/EGD/381","Animal Devil","rat","LEM","06/29/01 12:49:19","LEM","06/29/01 12:49:22"
"DVA/LA/6","LA",6,"C/EGD/166","Male","black man in black clothes, no cloak and a wand","LEM","05/21/01 11:06:10","jhm","10/21/02 14:58:56"
"DVA/LA/60","LA",60,"C/EGD/382","Male","a man in black clothes with a black hat","LEM","06/29/01 13:00:11","jhm","11/05/02 15:17:51"
"DVA/LA/61","LA",61,"C/EGD/385","Male","a half long lad","LEM","06/29/01 13:17:36","jhm","11/05/02 15:34:23"
"DVA/LA/62","LA",62,"C/EGD/385","Animal Devil","meikle brown dog","LEM","06/29/01 13:17:48","LEM","06/29/01 13:17:58"
"DVA/LA/63","LA",63,"C/EGD/390","Male",,"LEM","07/02/01 09:32:41","jhm","11/06/02 12:00:17"
"DVA/LA/64","LA",64,"C/EGD/388","Male",,"LEM","07/02/01 09:44:58","jhm","11/05/02 15:46:25"
"DVA/LA/65","LA",65,"C/EGD/389","Male",,"LEM","07/02/01 09:58:01","jhm","11/05/02 15:48:03"
"DVA/LA/66","LA",66,"C/EGD/391","Male",,"LEM","07/02/01 10:11:22","jhm","11/06/02 12:27:50"
"DVA/LA/67","LA",67,"C/EGD/386","Male","ill hewed man","LEM","07/02/01 10:25:47","jhm","11/05/02 15:40:52"
"DVA/LA/68","LA",68,"C/EGD/386","Animal Devil","Dog","LEM","07/02/01 10:25:58","LEM","07/02/01 10:29:20"
"DVA/LA/69","LA",69,"C/EGD/387","Male","in the likeness of her husband","LEM","07/02/01 10:58:10","LEM","10/10/02 16:14:06"
"DVA/LA/7","LA",7,"C/EGD/166","Animal Devil","Corbie (Raven)","LEM","05/21/01 11:10:29","LEM","05/21/01 11:11:06"
"DVA/LA/70","LA",70,"C/EGD/398","Male","black man","LEM","07/02/01 12:16:12","jhm","11/06/02 12:40:16"
"DVA/LA/71","LA",71,"C/EGD/1954","Male","Green Clothes","LEM","07/02/01 13:16:34","jhm","10/23/02 11:09:23"
"DVA/LA/72","LA",72,"C/EGD/402","Male","a pleasant young man","LEM","07/02/01 13:34:07","jhm","11/06/02 14:04:18"
"DVA/LA/73","LA",73,"C/EGD/402","Male","as her husband","LEM","07/02/01 13:35:04","jhm","11/06/02 14:04:17"
"DVA/LA/74","LA",74,"C/EGD/400","Male","young man","LEM","07/02/01 15:34:29","jhm","11/06/02 12:52:37"
"DVA/LA/75","LA",75,"C/EGD/400","Male","with cloven feet like an ox","LEM","07/02/01 15:34:43","jhm","11/06/02 12:52:36"
"DVA/LA/76","LA",76,"C/EGD/434","Male",,"LEM","07/03/01 13:24:49","jhm","10/01/02 09:36:16"
"DVA/LA/77","LA",77,"C/EGD/409","Male","ill favoured black man","LEM","07/04/01 12:52:53","jhm","11/06/02 14:41:42"
"DVA/LA/78","LA",78,"C/EGD/409","Male","Black clothes","LEM","07/04/01 12:53:05","jhm","11/06/02 14:41:34"
"DVA/LA/79","LA",79,"C/EGD/904","Unspecified Devil",,"LEM","07/05/01 12:03:10","LEM","07/05/01 12:03:12"
"DVA/LA/8","LA",8,"C/EGD/166","Animal Devil","cat","LEM","05/21/01 11:11:13","LEM","05/21/01 11:11:15"
"DVA/LA/80","LA",80,"C/EGD/913","Unspecified Devil",,"LEM","07/05/01 13:09:13","LEM","07/05/01 13:09:14"
"DVA/LA/81","LA",81,"C/EGD/914","Unspecified Devil",,"LEM","07/05/01 13:20:24","LEM","07/05/01 13:20:25"
"DVA/LA/82","LA",82,"C/EGD/915","Unspecified Devil",,"LEM","07/05/01 13:21:49","LEM","07/05/01 13:21:51"
"DVA/LA/83","LA",83,"C/EGD/916","Unspecified Devil",,"LEM","07/05/01 13:24:59","LEM","07/05/01 13:24:59"
"DVA/LA/84","LA",84,"C/EGD/917","Unspecified Devil",,"LEM","07/05/01 13:25:52","LEM","07/05/01 13:25:54"
"DVA/LA/85","LA",85,"C/EGD/372","Male","in black clothes","LEM","07/09/01 10:11:19","jhm","11/05/02 14:24:49"
"DVA/LA/86","LA",86,"C/LA/2798",,,"LEM","07/09/01 12:58:47","LEM","07/09/01 12:58:54"
"DVA/LA/87","LA",87,"C/EGD/392","Male",,"LEM","07/09/01 15:33:53","jhm","11/06/02 12:31:23"
"DVA/LA/88","LA",88,"C/EGD/408","Male","met him at 10pm","LEM","07/09/01 16:18:25","jhm","11/06/02 14:31:55"
"DVA/LA/89","LA",89,"C/EGD/407","Animal Devil","dog","LEM","07/09/01 16:22:24","LEM","07/09/01 16:22:27"
"DVA/LA/9","LA",9,"C/EGD/166","Animal Devil","dog","LEM","05/21/01 11:11:17","LEM","05/21/01 11:11:20"
"DVA/LA/90","LA",90,"C/EGD/407","Male",,"LEM","07/09/01 16:22:35","jhm","11/06/02 14:18:03"
"DVA/LA/91","LA",91,"C/EGD/359","Male",,"LEM","07/10/01 09:43:04","LEM","11/07/02 15:52:01"
"DVA/LA/92","LA",92,"C/EGD/360","Male",,"LEM","07/10/01 09:58:47","jhm","11/05/02 09:52:31"
"DVA/LA/93","LA",93,"C/EGD/404","Male","as her own husband","LEM","07/10/01 10:04:38","jhm","11/06/02 14:08:59"
"DVA/LA/94","LA",94,"C/EGD/415","Animal Devil","uncouth beast","LEM","07/10/01 10:18:09","LEM","07/10/01 10:18:17"
"DVA/LA/95","LA",95,"C/EGD/415","Male",,"LEM","07/10/01 10:18:20","jhm","11/06/02 15:28:43"
"DVA/LA/96","LA",96,"C/EGD/335","Male",,"LEM","07/11/01 10:29:43","jhm","11/05/02 08:30:44"
"DVA/LA/97","LA",97,"C/EGD/411","Male","black clothes and a bonnet","LEM","07/11/01 12:17:27","jhm","11/06/02 15:03:38"
"DVA/LA/98","LA",98,"C/EGD/380","Animal Devil","black dog","LEM","07/16/01 09:47:47","LEM","07/16/01 09:47:53"
"DVA/LA/99","LA",99,"C/EGD/365","Animal Devil","Black Dog","LEM","07/16/01 12:59:31","LEM","07/16/01 12:59:38"
