Parishref,ParishId,ParishSystemId,Parish_Name,Parish_TLA,PFID,Medieval_Diocese,Medieval_Deanery,Parish_County,Parish_Burgh,Parish_NGR_Letters,Parish_NGR_Easting,Parish_NGR_Northing,Date Comment,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"P/ST/1071",1071,"ST","Kinnoull","KNU",1071,"Merse","Gowrie",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1072",1072,"ST","Kildonan","KNX",1072,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1073",1073,"ST","Kirkoswald","KOS",1073,"Teviotdale","Carrick",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1074",1074,"ST","Kilcolmkill","KOX",1074,"Morvern",,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1075",1075,"ST","Kirkpatrick Fleming","KPF",1075,"Teviotdale","Annadale",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1076",1076,"ST","Kirkpatrick Juxta","KPJ",1076,"Teviotdale","Annadale",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1077",1077,"ST","Kippen","KPN",1077,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1078",1078,"ST","Kirkcudbright","KRB",1078,"Rhinns","Desnes",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1079",1079,"ST","Kincardine-in-Menteith","KRD",1079,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1080",1080,"ST","Kirkmichael","KRK",1080,"South of Forth","Atholl & Drumalbane",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1081",1081,"ST","Kirkliston","KRL",1081,"Merse","Linlithgow",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1082",1082,"ST","Kirkmichael","KRM",1082,"Strathspey","Strathspey",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1083",1083,"ST","Kirriemuir","KRR",1083,"Merse","Angus",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1084",1084,"ST","Kilmaurs","KRS",1084,"Teviotdale","Kyle & Cunningham",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1085",1085,"ST","Kilbride","KRX",1085,"Dunblane",,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1086",1086,"ST","Kilrenny","KRY",1086,"Merse","Fife",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1087",1087,"ST","Kirkwall & St Ola","KSO",1087,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1088",1088,"ST","Kilspindie","KSP",1088,"Merse","Gowrie",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1089",1089,"ST","Kinloss","KSS",1089,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
