Measured Point,Vol.,Conc.,Cond. 185,Temp. 185,Cond. 187,Temp. 187,
,ml,mg/l,µS/cm,°C,µS/cm,°C,
0,250.0,0.00,105.8,10.7,105.4,10.7,
1,250.5,19.96,220.7,10.7,220.9,10.6,
2,251.0,39.84,335.8,10.7,334.7,10.6,
3,251.5,59.64,448.4,10.7,447.0,10.6,
4,252.0,79.37,562.2,10.7,560.3,10.6,
5,252.5,99.01,685.4,10.7,683.1,10.6,
Date/Time,Measured Point,Cond. 185,Cond. 187,Temp. 185,Temp. 187,
6/18/2016 10:14:21 AM,165,13.2,13.2,14.0,13.9,
6/18/2016 10:14:22 AM,166,13.2,13.2,14.0,13.9,
6/18/2016 10:14:23 AM,167,13.2,13.2,14.0,13.9,
6/18/2016 10:14:24 AM,168,13.2,13.2,14.0,13.9,
6/18/2016 10:14:25 AM,169,13.2,13.2,14.0,13.9,
6/18/2016 10:14:26 AM,170,13.2,13.2,14.0,13.9,
6/18/2016 10:14:27 AM,171,13.2,13.2,14.0,13.9,
6/18/2016 10:14:28 AM,172,13.2,13.2,14.0,13.9,
6/18/2016 10:14:29 AM,173,13.2,13.2,14.0,13.9,
6/18/2016 10:14:30 AM,174,13.2,13.2,14.0,13.9,
6/18/2016 10:14:31 AM,175,13.2,13.2,14.0,13.9,
6/18/2016 10:14:32 AM,176,13.2,13.2,14.0,13.9,
6/18/2016 10:14:33 AM,177,13.2,13.2,14.0,13.9,
6/18/2016 10:14:34 AM,178,13.2,13.2,14.0,13.9,
6/18/2016 10:14:35 AM,179,13.2,13.2,14.0,13.9,
6/18/2016 10:14:36 AM,180,13.2,13.2,14.0,13.9,
6/18/2016 10:14:37 AM,181,13.2,13.2,14.0,13.9,
6/18/2016 10:14:38 AM,182,13.2,13.2,14.0,13.9,
6/18/2016 10:14:39 AM,183,13.2,13.2,14.0,13.9,
6/18/2016 10:14:40 AM,184,13.2,13.2,14.0,13.9,
6/18/2016 10:14:41 AM,185,13.2,13.2,14.0,13.9,
6/18/2016 10:14:42 AM,186,13.2,13.2,14.0,13.9,
6/18/2016 10:14:43 AM,187,13.2,13.2,14.0,13.9,
6/18/2016 10:14:44 AM,188,13.2,13.2,14.0,13.9,
6/18/2016 10:14:45 AM,189,13.2,13.2,14.0,13.9,
6/18/2016 10:14:46 AM,190,13.2,13.2,14.0,13.9,
6/18/2016 10:14:47 AM,191,13.2,13.2,14.0,13.9,
6/18/2016 10:14:48 AM,192,13.2,13.2,14.0,13.9,
6/18/2016 10:14:49 AM,193,13.2,13.2,14.0,13.9,
6/18/2016 10:14:50 AM,194,13.2,13.2,14.0,13.9,
6/18/2016 10:14:51 AM,195,13.2,13.2,14.0,13.9,
6/18/2016 10:14:52 AM,196,13.2,13.2,14.0,13.9,
6/18/2016 10:14:53 AM,197,13.2,13.2,14.0,13.9,
6/18/2016 10:14:54 AM,198,13.2,13.2,14.0,13.9,
6/18/2016 10:14:55 AM,199,13.2,13.2,14.0,13.9,
6/18/2016 10:14:56 AM,200,13.2,13.2,14.0,13.9,
6/18/2016 10:14:57 AM,201,13.2,13.2,14.0,13.9,
6/18/2016 10:14:58 AM,202,13.2,13.2,14.0,13.9,
6/18/2016 10:14:59 AM,203,13.2,13.2,14.0,13.9,
6/18/2016 10:15:00 AM,204,13.2,13.2,14.0,13.9,
6/18/2016 10:15:01 AM,205,13.2,13.2,14.0,13.9,
6/18/2016 10:15:02 AM,206,13.2,13.2,14.0,13.9,
6/18/2016 10:15:03 AM,207,13.2,13.2,14.0,13.9,
6/18/2016 10:15:04 AM,208,13.2,13.2,14.0,13.9,
6/18/2016 10:15:05 AM,209,13.2,13.2,14.0,13.9,
6/18/2016 10:15:06 AM,210,13.2,13.2,14.0,13.9,
6/18/2016 10:15:07 AM,211,13.2,13.2,14.0,13.9,
6/18/2016 10:15:08 AM,212,13.2,13.2,14.0,13.9,
6/18/2016 10:15:09 AM,213,13.2,13.2,14.0,13.9,
6/18/2016 10:15:10 AM,214,13.2,13.2,14.0,13.9,
6/18/2016 10:15:11 AM,215,13.2,13.2,14.0,13.9,
6/18/2016 10:15:12 AM,216,13.2,13.2,14.0,13.9,
6/18/2016 10:15:13 AM,217,13.2,13.2,14.0,13.9,
6/18/2016 10:15:14 AM,218,13.2,13.2,14.0,13.9,
6/18/2016 10:15:15 AM,219,13.2,13.2,14.0,13.9,
6/18/2016 10:15:16 AM,220,13.2,13.2,14.0,13.9,
6/18/2016 10:15:17 AM,221,13.2,13.2,14.0,13.9,
6/18/2016 10:15:18 AM,222,13.2,13.2,14.0,13.9,
6/18/2016 10:15:19 AM,223,13.2,13.2,14.0,13.9,
6/18/2016 10:15:20 AM,224,13.2,13.2,14.0,13.9,
6/18/2016 10:15:21 AM,225,13.2,13.2,14.0,13.9,
